query_name	node_type	operator_count	exclusive_duration_ms_sum	exclusive_duration_ms_max	exclusive_cost_sum	sort_space_used_kb_max	temp_written_blocks_sum	io_read_time_ms_sum
01_hashjoin_revenue	Index Scan	3	748245.165	584418.196	4844.7300000000005	0.0	0.0	0.0
01_hashjoin_revenue	Materialize	1	4057.2339999999967	4057.2339999999967	19996.88000000012	0.0	0.0	0.0
01_hashjoin_revenue	Merge Join	2	38703.685000000056	21496.775000000023	162865.2700000008	0.0	0.0	0.0
01_hashjoin_revenue	Nested Loop	2	29201.292000000016	20587.31999999995	76405.16999999959	0.0	0.0	0.0
01_hashjoin_revenue	Seq Scan	2	275592.48099999997	255114.851	1747819.35	0.0	0.0	0.0
01_hashjoin_revenue	Sort	2	102491.29499999998	96148.86299999998	6233091.6	2465104.0	0.0	0.0
02_large_sort	Seq Scan	1	15838.943	15838.943	2147891.55	0.0	0.0	0.0
03_seqscan_aggregate	Hash	1	447.076	447.076	0.0	0.0	0.0	0.0
03_seqscan_aggregate	Hash Join	1	21623.832000000002	21623.832000000002	1551828.2900000003	0.0	0.0	0.0
03_seqscan_aggregate	HashAggregate	1	25405.171000000002	25405.171000000002	422847.6200000001	0.0	0.0	0.0
03_seqscan_aggregate	Seq Scan	2	18030.645	17619.833	2208938.44	0.0	0.0	0.0
03_seqscan_aggregate	Sort	1	14.423999999999069	14.423999999999069	1075.1000000000931	4870.0	0.0	0.0
